VEICULO;Safra;PROBLEMA;INICIO_PARADA;TERMINO_PARADA; TEMPO_PARADO ;Time_req;Time_day;y
B;2016;Picador;03/07/2016 13:21;03/07/2016 14:08; 0.78 ;4/1;4.503900463;5
B;2016;Picador;04/07/2016 22:07;04/07/2016 23:07; 0.99 ;1/1;1.332604167;1
B;2016;Picador;07/07/2016 15:22;07/07/2016 21:40; 6.30 ;2/1;2.67712963;3
B;2016;Picador;11/07/2016 16:10;11/07/2016 16:35; 0.41 ;3/1;3.770833333;4
B;2016;Picador;14/07/2016 08:43;14/07/2016 10:30; 1.80 ;2/1;2.672303241;3
B;2016;Picador;23/07/2016 09:52;23/07/2016 16:37; 6.75 ;8/1;8.973090278;9
B;2016;Picador;31/07/2016 05:22;31/07/2016 06:26; 1.05 ;7/1;7.531689815;8
B;2016;Picador;08/08/2016 04:21;08/08/2016 06:09; 1.79 ;7/1;7.913587963;8
B;2016;Picador;31/08/2016 23:33;01/09/2016 12:21; 12.80 ;23/1;23.72498843;24
B;2016;Picador;13/09/2016 17:23;13/09/2016 18:24; 1.01 ;12/1;12.2099537;12
B;2016;Picador;21/09/2016 20:23;21/09/2016 21:20; 0.94 ;8/1;8.082835648;8
B;2016;Picador;02/10/2016 01:03;02/10/2016 01:22; 0.32 ;10/1;10.15520833;11
B;2016;Picador;03/10/2016 12:08;03/10/2016 16:09; 4.02 ;1/1;1.448356481;1
B;2017;Picador;19/04/2017 18:25;20/04/2017 01:19; 6.91 ;16/7;198.0944676;198
B;2017;Picador;17/05/2017 16:36;17/05/2017 19:41; 3.07 ;27/1;27.63665509;28
B;2017;Picador;29/06/2017 23:10;30/06/2017 01:12; 2.04 ;12/2;43.14513889;43
B;2017;Picador;10/07/2017 06:47;10/07/2017 10:39; 3.87 ;10/1;10.2325;11
B;2017;Picador;10/07/2017 18:02;10/07/2017 18:47; 0.75 ;0/1;0.307627315;1
B;2017;Picador;16/07/2017 03:25;16/07/2017 03:48; 0.38 ;5/1;5.359375;5
B;2017;Picador;17/07/2017 05:13;17/07/2017 07:21; 2.14 ;1/1;1.059513889;1
B;2017;Picador;20/07/2017 09:44;20/07/2017 10:20; 0.61 ;3/1;3.099016204;3
B;2017;Picador;03/08/2017 20:39;03/08/2017 22:11; 1.55 ;14/1;14.42930556;14
B;2017;Picador;03/08/2017 23:25;04/08/2017 07:12; 7.80 ;0/1;0.050868056;1
B;2017;Picador;04/08/2017 12:35;04/08/2017 13:31; 0.93 ;0/1;0.223738426;1
B;2017;Picador;04/08/2017 15:15;04/08/2017 19:14; 3.98 ;0/1;0.072662037;1
B;2017;Picador;05/08/2017 06:07;05/08/2017 07:14; 1.11 ;0/1;0.453726852;1
B;2017;Picador;06/08/2017 17:15;06/08/2017 18:43; 1.48 ;1/1;1.417060185;1
B;2017;Picador;14/08/2017 06:15;14/08/2017 06:54; 0.64 ;7/1;7.480335648;7
B;2017;Picador;25/08/2017 06:07;25/08/2017 06:38; 0.52 ;10/1;10.96773148;11
B;2017;Picador;28/08/2017 14:22;28/08/2017 16:29; 2.12 ;3/1;3.321805556;3
B;2017;Picador;04/09/2017 06:33;04/09/2017 08:46; 2.23 ;6/1;6.586018519;7
A;2016;Radiador;02/08/2016 08:47;02/08/2016 13:10; 4.39 ;FALSE;;
A;2016;Radiador;12/09/2016 01:05;12/09/2016 09:24; 8.31 ;9/2;40.4968287;41
A;2016;Radiador;09/10/2016 08:27;09/10/2016 09:36; 1.15 ;26/1;26.96043981;27
A;2017;Radiador;10/04/2017 16:01;10/04/2017 19:06; 3.09 ;1/7;183.2671528;183
A;2017;Radiador;24/05/2017 19:32;24/05/2017 20:33; 1.02 ;13/2;44.01740741;44
A;2017;Radiador;10/07/2017 07:20;10/07/2017 09:58; 2.63 ;15/2;46.44952546;46
B;2015;Radiador;04/08/2015 11:06;04/08/2015 12:45; 1.64 ;FALSE;;
B;2015;Radiador;07/09/2015 14:45;07/09/2015 15:38; 0.88 ;3/2;34.08353009;34
B;2015;Radiador;07/09/2015 16:00;11/09/2015 18:29; 98.49 ;0/1;0.014988426;1
B;2015;Radiador;16/10/2015 06:32;16/10/2015 09:41; 3.15 ;3/2;34.50190972;35
B;2016;Radiador;13/06/2016 05:42;13/06/2016 06:14; 0.53 ;27/8;240.8343981;241
B;2017;Radiador;13/04/2017 13:03;13/04/2017 13:46; 0.72 ;30/10;304.2843634;314
B;2017;Radiador;27/04/2017 01:00;27/04/2017 03:49; 2.81 ;13/1;13.46806713;13
B;2017;Radiador;20/07/2017 10:51;20/07/2017 11:06; 0.24 ;24/3;84.29320602;84
B;2017;Radiador;09/08/2017 14:21;09/08/2017 16:07; 1.77 ;20/1;20.13553241;21
B;2017;Radiador;15/08/2017 21:05;16/08/2017 04:11; 7.10 ;6/1;6.206875;6
B;2017;Radiador;17/08/2017 20:54;17/08/2017 22:25; 1.51 ;1/1;1.696840278;2
A;2015;Revisão;08/04/2015 08:35;08/04/2015 17:07; 8.53 ;FALSE;;
A;2015;Revisão;15/04/2015 10:17;15/04/2015 16:44; 6.46 ;6/1;6.715115741;7
A;2015;Revisão;21/04/2015 06:59;21/04/2015 17:58; 10.98 ;5/1;5.593506944;6
A;2015;Revisão;01/05/2015 08:12;01/05/2015 15:49; 7.62 ;9/1;9.592962963;11
A;2015;Revisão;02/05/2015 05:56;02/05/2015 12:33; 6.62 ;0/1;0.588055556;1
A;2015;Revisão;08/05/2015 06:56;08/05/2015 16:01; 9.09 ;5/1;5.765358796;6
A;2015;Revisão;10/05/2015 08:41;10/05/2015 12:37; 3.93 ;1/1;1.694641204;2
A;2015;Revisão;15/05/2015 07:26;15/05/2015 16:40; 9.24 ;4/1;4.783703704;5
A;2015;Revisão;23/05/2015 06:11;23/05/2015 14:22; 8.19 ;7/1;7.563009259;8
A;2015;Revisão;30/05/2015 06:13;30/05/2015 16:29; 10.26 ;6/1;6.6603125;7
A;2015;Revisão;07/06/2015 08:32;07/06/2015 12:24; 3.88 ;7/1;7.668587963;8
A;2015;Revisão;08/06/2015 13:55;08/06/2015 16:44; 2.82 ;1/1;1.062719907;1
A;2015;Revisão;15/06/2015 08:20;15/06/2015 17:07; 8.80 ;6/1;6.649791667;7
A;2015;Revisão;01/07/2015 07:34;01/07/2015 14:11; 6.62 ;15/1;15.60177083;16
A;2015;Revisão;10/07/2015 07:46;10/07/2015 17:05; 9.31 ;8/1;8.732766204;9
A;2015;Revisão;17/07/2015 09:08;17/07/2015 14:11; 5.05 ;6/1;6.668935185;7
A;2015;Revisão;21/07/2015 08:42;21/07/2015 12:16; 3.57 ;3/1;3.77193287;4
A;2015;Revisão;31/07/2015 07:24;31/07/2015 15:12; 7.80 ;9/1;9.796898148;11
A;2015;Revisão;04/08/2015 09:07;04/08/2015 15:17; 6.17 ;3/1;3.746863426;4
A;2015;Revisão;12/08/2015 07:20;12/08/2015 16:24; 9.07 ;7/1;7.668541667;8
A;2015;Revisão;18/08/2015 10:10;18/08/2015 13:56; 3.78 ;5/1;5.739988426;6
A;2015;Revisão;20/08/2015 07:47;21/08/2015 00:38; 16.85 ;1/1;1.743611111;2
A;2015;Revisão;06/09/2015 11:14;06/09/2015 16:11; 4.96 ;16/1;16.44130787;16
A;2015;Revisão;09/09/2015 11:43;09/09/2015 19:01; 7.29 ;2/1;2.813981481;3
A;2015;Revisão;19/09/2015 05:06;20/09/2015 16:58; 35.86 ;9/1;9.420208333;9
A;2015;Revisão;27/09/2015 06:44;27/09/2015 08:21; 1.62 ;6/1;6.573541667;7
A;2015;Revisão;28/09/2015 08:11;28/09/2015 18:27; 10.27 ;0/1;0.992939815;1
A;2015;Revisão;06/10/2015 06:33;06/10/2015 18:13; 11.66 ;7/1;7.504560185;8
A;2015;Revisão;14/10/2015 08:29;14/10/2015 12:37; 4.13 ;7/1;7.594386574;8
A;2015;Revisão;23/10/2015 04:18;23/10/2015 13:21; 9.05 ;8/1;8.653680556;9
A;2015;Revisão;23/10/2015 13:26;23/10/2015 15:36; 2.15 ;0/1;0.003518519;1
A;2015;Revisão;27/10/2015 08:03;27/10/2015 15:36; 7.55 ;3/1;3.685752315;4
A;2015;Revisão;01/11/2015 19:43;02/11/2015 00:14; 4.52 ;5/1;5.171284722;5
A;2015;Revisão;02/11/2015 04:34;02/11/2015 14:43; 10.16 ;0/1;0.180532407;1
A;2015;Revisão;10/11/2015 08:45;10/11/2015 13:11; 4.43 ;7/1;7.75119213;8
A;2015;Revisão;19/11/2015 08:55;19/11/2015 12:33; 3.64 ;8/1;8.822071759;9
A;2015;Revisão;08/12/2015 07:31;08/12/2015 12:44; 5.22 ;18/1;18.78991898;19
A;2015;Revisão;10/12/2015 07:39;10/12/2015 20:22; 12.72 ;1/1;1.788368056;2
A;2016;Revisão;31/03/2016 06:59;31/03/2016 08:08; 1.14 ;20/4;111.4425231;111
A;2016;Revisão;06/04/2016 07:08;06/04/2016 16:15; 9.12 ;5/1;5.958425926;6
A;2016;Revisão;11/04/2016 08:57;11/04/2016 19:30; 10.55 ;4/1;4.695671296;5
A;2016;Revisão;21/04/2016 03:43;21/04/2016 18:06; 14.38 ;9/1;9.342361111;9
A;2016;Revisão;28/04/2016 09:00;28/04/2016 18:23; 9.39 ;6/1;6.62068287;7
A;2016;Revisão;05/05/2016 07:02;05/05/2016 13:59; 6.95 ;6/1;6.526782407;7
A;2016;Revisão;12/05/2016 09:12;12/05/2016 20:30; 11.31 ;6/1;6.800949074;7
A;2016;Revisão;13/05/2016 08:26;13/05/2016 10:32; 2.10 ;0/1;0.497106481;1
A;2016;Revisão;19/05/2016 06:17;19/05/2016 23:14; 16.95 ;5/1;5.822997685;6
A;2016;Revisão;27/05/2016 06:24;27/05/2016 17:00; 10.61 ;7/1;7.298171296;7
A;2016;Revisão;03/06/2016 08:14;03/06/2016 14:26; 6.19 ;6/1;6.634583333;7
A;2016;Revisão;09/06/2016 07:08;09/06/2016 13:32; 6.39 ;5/1;5.696099537;6
A;2016;Revisão;16/06/2016 07:45;16/06/2016 22:26; 14.69 ;6/1;6.759490741;7
A;2016;Revisão;19/06/2016 08:23;19/06/2016 16:02; 7.66 ;2/1;2.414293981;2
A;2016;Revisão;28/06/2016 06:26;28/06/2016 17:41; 11.25 ;8/1;8.599895833;9
A;2016;Revisão;05/07/2016 07:32;05/07/2016 18:13; 10.68 ;6/1;6.577453704;7
A;2016;Revisão;08/07/2016 06:00;08/07/2016 19:39; 13.66 ;2/1;2.490405093;2
A;2016;Revisão;14/07/2016 08:23;14/07/2016 11:45; 3.37 ;5/1;5.530532407;6
A;2016;Revisão;16/07/2016 09:31;17/07/2016 04:25; 18.90 ;1/1;1.907199074;2
A;2016;Revisão;21/07/2016 08:01;21/07/2016 18:10; 10.14 ;4/1;4.149884259;4
A;2016;Revisão;30/07/2016 07:36;30/07/2016 21:26; 13.84 ;8/1;8.559780093;9
A;2016;Revisão;11/08/2016 08:14;11/08/2016 20:54; 12.68 ;11/1;11.44947917;11
A;2016;Revisão;18/08/2016 05:23;19/08/2016 00:53; 19.51 ;6/1;6.353032407;6
A;2016;Revisão;25/08/2016 07:41;25/08/2016 15:12; 7.52 ;6/1;6.282881944;6
A;2016;Revisão;27/08/2016 08:23;27/08/2016 19:31; 11.13 ;1/1;1.715844907;2
A;2016;Revisão;02/09/2016 09:21;02/09/2016 11:54; 2.55 ;5/1;5.57662037;6
A;2016;Revisão;09/09/2016 09:07;09/09/2016 16:16; 7.15 ;6/1;6.88431713;7
A;2016;Revisão;16/09/2016 08:36;16/09/2016 20:38; 12.03 ;6/1;6.680034722;7
A;2016;Revisão;02/10/2016 07:51;02/10/2016 20:01; 12.17 ;15/1;15.46770833;15
A;2016;Revisão;08/10/2016 08:35;08/10/2016 17:14; 8.64 ;5/1;5.523425926;6
A;2016;Revisão;16/10/2016 10:18;16/10/2016 16:37; 6.31 ;7/1;7.711527778;8
A;2016;Revisão;23/10/2016 10:43;23/10/2016 14:58; 4.26 ;6/1;6.754305556;7
A;2017;Revisão;31/03/2017 06:38;31/03/2017 14:03; 7.42 ;6/6;158.6527315;159
A;2017;Revisão;08/04/2017 05:42;08/04/2017 06:11; 0.49 ;7/1;7.651782407;8
A;2017;Revisão;17/04/2017 05:50;17/04/2017 06:16; 0.44 ;8/1;8.985393519;9
A;2017;Revisão;18/04/2017 05:39;18/04/2017 15:00; 9.35 ;0/1;0.973981481;1
A;2017;Revisão;01/05/2017 05:46;01/05/2017 12:46; 7.00 ;12/1;12.61498843;13
A;2017;Revisão;08/05/2017 05:46;08/05/2017 15:17; 9.51 ;6/1;6.70880787;7
A;2017;Revisão;14/05/2017 05:46;14/05/2017 17:58; 12.21 ;5/1;5.603425926;6
A;2017;Revisão;21/05/2017 06:32;21/05/2017 14:10; 7.63 ;6/1;6.523078704;7
A;2017;Revisão;29/05/2017 05:41;29/05/2017 16:04; 10.39 ;7/1;7.646886574;8
A;2017;Revisão;06/06/2017 06:48;06/06/2017 14:33; 7.74 ;7/1;7.613900463;8
A;2017;Revisão;13/06/2017 06:03;13/06/2017 15:47; 9.75 ;6/1;6.645613426;7
A;2017;Revisão;20/06/2017 05:49;20/06/2017 14:24; 8.59 ;6/1;6.584201389;7
A;2017;Revisão;28/06/2017 08:20;28/06/2017 17:21; 9.01 ;7/1;7.747534722;8
A;2017;Revisão;04/07/2017 05:49;04/07/2017 17:16; 11.45 ;5/1;5.519594907;6
A;2017;Revisão;11/07/2017 05:41;11/07/2017 19:09; 13.46 ;6/1;6.517488426;7
A;2017;Revisão;19/07/2017 07:48;19/07/2017 17:56; 10.14 ;7/1;7.527083333;8
A;2017;Revisão;25/07/2017 05:44;25/07/2017 18:31; 12.79 ;5/1;5.491770833;5
A;2017;Revisão;28/07/2017 05:57;28/07/2017 16:58; 11.01 ;2/1;2.476087963;2
A;2017;Revisão;03/08/2017 05:39;03/08/2017 13:48; 8.14 ;5/1;5.528993056;6
A;2017;Revisão;09/08/2017 07:11;09/08/2017 15:26; 8.26 ;5/1;5.724363426;6
A;2017;Revisão;16/08/2017 09:06;16/08/2017 18:06; 8.99 ;6/1;6.73599537;7
A;2017;Revisão;24/08/2017 10:06;24/08/2017 10:07; 0.02 ;7/1;7.666921296;8
A;2017;Revisão;25/08/2017 05:39;25/08/2017 19:03; 13.41 ;0/1;0.813657407;1
A;2017;Revisão;28/08/2017 07:43;28/08/2017 21:54; 14.19 ;2/1;2.527465278;3
B;2015;Revisão;09/04/2015 06:45;09/04/2015 18:09; 11.41 ;FALSE;;
B;2015;Revisão;16/04/2015 06:00;16/04/2015 21:05; 15.07 ;6/1;6.493784722;6
B;2015;Revisão;23/04/2015 08:16;23/04/2015 19:58; 11.71 ;6/1;6.466053241;6
B;2015;Revisão;27/04/2015 07:33;27/04/2015 18:23; 10.83 ;3/1;3.482152778;3
B;2015;Revisão;02/05/2015 12:34;02/05/2015 13:23; 0.82 ;4/1;4.757650463;5
B;2015;Revisão;09/05/2015 07:39;09/05/2015 17:06; 9.46 ;6/1;6.761006944;7
B;2015;Revisão;13/05/2015 07:01;13/05/2015 16:44; 9.72 ;3/1;3.579340278;4
B;2015;Revisão;17/05/2015 07:42;17/05/2015 17:14; 9.54 ;3/1;3.623680556;4
B;2015;Revisão;24/05/2015 06:31;24/05/2015 08:23; 1.88 ;6/1;6.552847222;7
B;2015;Revisão;25/05/2015 08:24;25/05/2015 16:18; 7.90 ;1/1;1.000219907;1
B;2015;Revisão;31/05/2015 08:02;31/05/2015 18:45; 10.72 ;5/1;5.65568287;6
B;2015;Revisão;09/06/2015 06:11;09/06/2015 18:56; 12.76 ;8/1;8.476087963;8
B;2015;Revisão;16/06/2015 08:15;16/06/2015 15:53; 7.63 ;6/1;6.554664352;7
B;2015;Revisão;23/06/2015 11:42;23/06/2015 17:17; 5.59 ;6/1;6.825532407;7
B;2015;Revisão;03/07/2015 08:12;03/07/2015 15:23; 7.19 ;9/1;9.621099537;11
B;2015;Revisão;09/07/2015 07:25;09/07/2015 14:04; 6.65 ;5/1;5.66787037;6
B;2015;Revisão;15/07/2015 07:39;15/07/2015 18:53; 11.24 ;5/1;5.732418981;6
B;2015;Revisão;25/07/2015 09:20;25/07/2015 16:25; 7.09 ;9/1;9.601805556;11
B;2015;Revisão;28/07/2015 09:43;28/07/2015 16:32; 6.81 ;2/1;2.720706019;3
B;2015;Revisão;02/08/2015 09:23;02/08/2015 17:04; 7.67 ;4/1;4.7025;5
B;2015;Revisão;05/08/2015 07:16;05/08/2015 18:35; 11.31 ;2/1;2.591921296;3
B;2015;Revisão;13/08/2015 09:47;13/08/2015 09:50; 0.04 ;7/1;7.633553241;8
B;2015;Revisão;15/08/2015 07:27;15/08/2015 08:20; 0.89 ;1/1;1.900590278;2
B;2015;Revisão;16/08/2015 07:33;16/08/2015 18:08; 10.58 ;0/1;0.96681713;1
B;2015;Revisão;24/08/2015 08:27;24/08/2015 19:33; 11.08 ;7/1;7.59712963;8
B;2015;Revisão;04/09/2015 09:22;04/09/2015 14:05; 4.72 ;10/1;10.57585648;11
B;2015;Revisão;14/09/2015 06:42;14/09/2015 18:09; 11.45 ;9/1;9.692800926;11
B;2015;Revisão;21/09/2015 10:47;21/09/2015 22:29; 11.69 ;6/1;6.693078704;7
B;2015;Revisão;26/09/2015 07:51;26/09/2015 18:28; 10.63 ;4/1;4.390428241;4
B;2015;Revisão;05/10/2015 09:33;05/10/2015 18:50; 9.29 ;8/1;8.628055556;9
B;2015;Revisão;12/10/2015 10:29;12/10/2015 22:02; 11.56 ;6/1;6.652083333;7
B;2015;Revisão;19/10/2015 07:10;19/10/2015 17:14; 10.07 ;6/1;6.380185185;6
B;2015;Revisão;28/10/2015 07:12;28/10/2015 21:18; 14.10 ;8/1;8.582094907;9
B;2015;Revisão;03/11/2015 07:21;03/11/2015 22:37; 15.26 ;5/1;5.418310185;5
B;2015;Revisão;12/11/2015 06:49;12/11/2015 19:22; 12.56 ;8/1;8.341886574;8
B;2015;Revisão;23/11/2015 09:08;23/11/2015 13:11; 4.04 ;10/1;10.57341435;11
B;2015;Revisão;02/12/2015 08:14;02/12/2015 15:08; 6.91 ;8/1;8.7940625;9
B;2016;Revisão;02/04/2016 06:25;02/04/2016 10:26; 4.01 ;30/4;121.6367014;122
B;2016;Revisão;08/04/2016 08:47;08/04/2016 18:21; 9.55 ;5/1;5.93150463;6
B;2016;Revisão;09/04/2016 08:11;09/04/2016 14:09; 5.97 ;0/1;0.576550926;1
B;2016;Revisão;13/04/2016 08:19;13/04/2016 13:20; 5.03 ;3/1;3.756342593;4
B;2016;Revisão;17/04/2016 07:35;17/04/2016 12:26; 4.85 ;3/1;3.760219907;4
B;2016;Revisão;22/04/2016 08:14;22/04/2016 14:06; 5.88 ;4/1;4.824780093;5
B;2016;Revisão;29/04/2016 07:47;29/04/2016 19:23; 11.61 ;6/1;6.73662037;7
B;2016;Revisão;06/05/2016 07:47;06/05/2016 14:25; 6.64 ;6/1;6.516238426;7
B;2016;Revisão;14/05/2016 05:17;14/05/2016 05:41; 0.40 ;7/1;7.619409722;8
B;2016;Revisão;15/05/2016 08:11;15/05/2016 14:30; 6.32 ;1/1;1.104085648;1
B;2016;Revisão;20/05/2016 06:01;20/05/2016 14:02; 8.01 ;4/1;4.646377315;5
B;2016;Revisão;24/05/2016 06:59;24/05/2016 14:26; 7.44 ;3/1;3.70662037;4
B;2016;Revisão;01/06/2016 06:45;01/06/2016 14:20; 7.57 ;7/1;7.680335648;8
B;2016;Revisão;08/06/2016 07:07;08/06/2016 14:18; 7.18 ;6/1;6.699467593;7
B;2016;Revisão;14/06/2016 08:07;14/06/2016 14:19; 6.20 ;5/1;5.742199074;6
B;2016;Revisão;21/06/2016 06:52;21/06/2016 19:29; 12.62 ;6/1;6.689560185;7
B;2016;Revisão;24/06/2016 07:11;24/06/2016 16:36; 9.42 ;2/1;2.487662037;2
B;2016;Revisão;29/06/2016 12:42;29/06/2016 15:56; 3.22 ;4/1;4.83755787;5
B;2016;Revisão;06/07/2016 06:34;06/07/2016 18:00; 11.43 ;6/1;6.609861111;7
B;2016;Revisão;17/07/2016 11:09;17/07/2016 14:00; 2.84 ;10/1;10.71490741;11
B;2016;Revisão;27/07/2016 05:41;27/07/2016 20:29; 14.80 ;9/1;9.653842593;11
B;2016;Revisão;02/08/2016 13:10;02/08/2016 13:38; 0.46 ;5/1;5.695520833;6
B;2016;Revisão;03/08/2016 08:39;03/08/2016 16:29; 7.83 ;0/1;0.791875;1
B;2016;Revisão;12/08/2016 07:53;12/08/2016 21:26; 13.55 ;8/1;8.6421875;9
B;2016;Revisão;20/08/2016 08:27;20/08/2016 20:53; 12.43 ;7/1;7.458888889;7
B;2016;Revisão;27/08/2016 07:05;27/08/2016 08:23; 1.29 ;6/1;6.425347222;6
B;2016;Revisão;28/08/2016 06:50;28/08/2016 17:02; 10.21 ;0/1;0.935451389;1
B;2016;Revisão;03/09/2016 07:47;03/09/2016 14:06; 6.31 ;5/1;5.614456019;6
B;2016;Revisão;11/09/2016 06:25;11/09/2016 21:31; 15.10 ;7/1;7.68;8
B;2016;Revisão;18/09/2016 09:16;18/09/2016 21:25; 12.14 ;6/1;6.489988426;6
B;2016;Revisão;26/09/2016 10:07;26/09/2016 14:19; 4.20 ;7/1;7.529826389;8
B;2016;Revisão;27/09/2016 09:36;27/09/2016 14:58; 5.37 ;0/1;0.803032407;1
B;2017;Revisão;01/04/2017 06:01;01/04/2017 16:24; 10.38 ;3/7;185.6270602;186
B;2017;Revisão;11/04/2017 05:43;11/04/2017 12:24; 6.68 ;9/1;9.554953704;11
B;2017;Revisão;17/04/2017 06:17;17/04/2017 16:32; 10.26 ;5/1;5.745289352;6
B;2017;Revisão;25/04/2017 05:39;25/04/2017 17:43; 12.08 ;7/1;7.546122685;8
B;2017;Revisão;02/05/2017 05:52;02/05/2017 14:07; 8.26 ;6/1;6.505694444;7
B;2017;Revisão;05/05/2017 07:41;05/05/2017 18:51; 11.16 ;2/1;2.732256944;3
B;2017;Revisão;15/05/2017 05:43;15/05/2017 19:10; 13.44 ;9/1;9.452881944;9
B;2017;Revisão;22/05/2017 05:42;22/05/2017 13:59; 8.28 ;6/1;6.439363426;6
B;2017;Revisão;30/05/2017 05:52;30/05/2017 23:03; 17.18 ;7/1;7.662037037;8
B;2017;Revisão;03/06/2017 05:34;03/06/2017 16:39; 11.09 ;3/1;3.271284722;3
B;2017;Revisão;08/06/2017 06:21;08/06/2017 17:19; 10.96 ;4/1;4.571180556;5
B;2017;Revisão;14/06/2017 05:44;14/06/2017 14:56; 9.20 ;5/1;5.517384259;6
B;2017;Revisão;21/06/2017 05:35;21/06/2017 13:43; 8.13 ;6/1;6.610902778;7
B;2017;Revisão;27/06/2017 06:51;27/06/2017 22:23; 15.54 ;5/1;5.713240741;6
B;2017;Revisão;06/07/2017 05:44;06/07/2017 21:31; 15.77 ;8/1;8.3065625;8
B;2017;Revisão;12/07/2017 07:28;12/07/2017 16:21; 8.88 ;5/1;5.415092593;5
B;2017;Revisão;18/07/2017 07:41;18/07/2017 17:57; 10.27 ;5/1;5.638877315;6
B;2017;Revisão;26/07/2017 05:37;26/07/2017 16:04; 10.45 ;7/1;7.48587963;7
B;2017;Revisão;31/07/2017 05:43;03/08/2017 19:52; 86.17 ;4/1;4.568530093;5
B;2017;Revisão;10/08/2017 05:48;13/08/2017 10:25; 76.61 ;6/1;6.41380787;6
B;2017;Revisão;26/08/2017 06:18;26/08/2017 16:06; 9.79 ;12/1;12.82866898;13
B;2017;Revisão;02/09/2017 07:46;02/09/2017 14:44; 6.96 ;6/1;6.65318287;7
B;2017;Revisão;06/09/2017 06:12;06/09/2017 15:32; 9.33 ;3/1;3.644513889;4
A;2015;Rolos;10/05/2015 05:09;10/05/2015 06:19; 1.16 ;FALSE;;
A;2015;Rolos;10/05/2015 13:26;10/05/2015 13:48; 0.37 ;0/1;0.296458333;1
A;2015;Rolos;23/05/2015 02:28;23/05/2015 05:12; 2.73 ;12/1;12.52736111;13
A;2015;Rolos;08/06/2015 00:21;08/06/2015 13:53; 13.53 ;15/1;15.79834491;16
A;2015;Rolos;09/08/2015 16:15;09/08/2015 19:10; 2.93 ;2/3;62.09800926;62
A;2015;Rolos;16/08/2015 11:54;16/08/2015 13:37; 1.70 ;6/1;6.697395833;7
A;2015;Rolos;05/10/2015 17:06;05/10/2015 19:38; 2.53 ;19/2;50.14555556;51
A;2015;Rolos;10/10/2015 18:10;10/10/2015 19:46; 1.61 ;4/1;4.938599537;5
A;2015;Rolos;11/10/2015 07:26;11/10/2015 08:47; 1.35 ;0/1;0.486180556;1
A;2015;Rolos;24/10/2015 15:47;24/10/2015 17:56; 2.15 ;13/1;13.29148148;13
A;2015;Rolos;29/10/2015 13:21;29/10/2015 22:13; 8.86 ;4/1;4.808935185;5
A;2015;Rolos;08/11/2015 06:22;08/11/2015 06:48; 0.44 ;9/1;9.339710648;9
A;2015;Rolos;23/11/2015 11:23;23/11/2015 13:07; 1.74 ;15/1;15.19060185;15
A;2015;Rolos;16/12/2015 00:52;16/12/2015 01:32; 0.67 ;22/1;22.48908565;22
A;2016;Rolos;10/04/2016 10:20;10/04/2016 11:16; 0.93 ;25/4;116.3664815;116
A;2016;Rolos;15/04/2016 15:49;15/04/2016 17:23; 1.57 ;5/1;5.189988426;5
A;2016;Rolos;10/05/2016 05:23;10/05/2016 06:55; 1.52 ;24/1;24.50021991;25
A;2016;Rolos;12/05/2016 02:01;12/05/2016 05:51; 3.84 ;1/1;1.795960648;2
A;2016;Rolos;12/05/2016 21:59;13/05/2016 08:26; 10.44 ;0/1;0.672037037;1
A;2016;Rolos;20/06/2016 10:49;20/06/2016 11:13; 0.40 ;7/2;38.09960648;38
A;2016;Rolos;31/07/2016 17:53;31/07/2016 18:09; 0.27 ;10/2;41.2778588;41
A;2016;Rolos;01/08/2016 06:48;01/08/2016 10:28; 3.67 ;0/1;0.526840278;1
A;2016;Rolos;15/09/2016 16:12;15/09/2016 19:14; 3.03 ;14/2;45.23885417;45
A;2016;Rolos;17/09/2016 15:20;17/09/2016 16:01; 0.68 ;1/1;1.837592593;2
A;2016;Rolos;17/09/2016 17:27;17/09/2016 18:22; 0.92 ;0/1;0.059490741;1
A;2016;Rolos;10/10/2016 01:36;10/10/2016 05:30; 3.90 ;22/1;22.30091435;22
A;2016;Rolos;12/10/2016 02:10;12/10/2016 03:50; 1.66 ;1/1;1.861516204;2
A;2016;Rolos;15/10/2016 15:09;15/10/2016 15:29; 0.33 ;3/1;3.471967593;3
A;2016;Rolos;30/10/2016 08:26;30/10/2016 08:55; 0.49 ;14/1;14.7058912;15
A;2017;Rolos;03/04/2017 02:44;03/04/2017 06:45; 4.01 ;2/6;154.7425579;155
A;2017;Rolos;09/04/2017 11:00;09/04/2017 14:51; 3.85 ;6/1;6.177118056;6
A;2017;Rolos;17/04/2017 19:09;17/04/2017 19:55; 0.76 ;8/1;8.179363426;8
A;2017;Rolos;16/05/2017 14:47;16/05/2017 17:48; 3.01 ;28/1;28.78635417;29
A;2017;Rolos;27/05/2017 08:21;27/05/2017 08:41; 0.34 ;10/1;10.60590278;11
A;2017;Rolos;02/08/2017 00:06;02/08/2017 02:45; 2.66 ;6/3;66.64199074;67
A;2017;Rolos;06/08/2017 22:15;06/08/2017 23:26; 1.19 ;4/1;4.812222222;5
A;2017;Rolos;27/08/2017 01:39;27/08/2017 04:04; 2.42 ;20/1;20.09203704;21
B;2015;Rolos;08/04/2015 10:14;08/04/2015 14:18; 4.07 ;FALSE;;
B;2015;Rolos;21/05/2015 09:22;21/05/2015 10:33; 1.19 ;11/2;42.79425926;43
B;2015;Rolos;23/05/2015 00:37;23/05/2015 01:12; 0.59 ;1/1;1.586365741;2
